id,text,Effect,Subject.name,Subject.properties,Subject.properties.logOp,Resource.name,Resource.properties,Resource.properties.logOp,Actions,Condition.particle,Condition.logOp,Condition.subjects,Condition.subjects.logOp,Condition.resources,Condition.resources.logOp,Condition.envNetworks,Condition.envNetworks.logOp,Condition.envDatetimes,Condition.envDatetimes.logOp
73,Junior researchers and digital curators may read archived reports and validated collections unless the researchers are working on an expired project and the collections are related to that project and the network connection uses the institute's secure infrastructure.,Allow,digital curators,,,collections,validated,,read,unless,and,researchers (working on expired project),,collections (related to that project),,using institute's secure infrastructure,,,
74,Temporary nurses and contract technicians may not access confidential records and encrypted backups if the nurses are assigned to departments outside the patient's care unit or the records belong to a restricted treatment program or the request originates from an unsecured network.,Deny,nurses,temporary,,records,confidential,,access,if,or,nurses (assigned to departments outside the patient's care unit),,records (belong to a restricted treatment program),,request from an unsecured network,,,
74,Temporary nurses and contract technicians may not access confidential records and encrypted backups if the nurses are assigned to departments outside the patient's care unit or the records belong to a restricted treatment program or the request originates from an unsecured network.,Deny,nurses,temporary,,backups,encrypted,,access,if,or,nurses (assigned to departments outside the patient's care unit),,records (belong to a restricted treatment program),,request from an unsecured network,,,
74,Temporary nurses and contract technicians may not access confidential records and encrypted backups if the nurses are assigned to departments outside the patient's care unit or the records belong to a restricted treatment program or the request originates from an unsecured network.,Deny,technicians,contract,,records,confidential,,access,if,or,nurses (assigned to departments outside the patient's care unit),,records (belong to a restricted treatment program),,request from an unsecured network,,,
74,Temporary nurses and contract technicians may not access confidential records and encrypted backups if the nurses are assigned to departments outside the patient's care unit or the records belong to a restricted treatment program or the request originates from an unsecured network.,Deny,technicians,contract,,backups,encrypted,,access,if,or,nurses (assigned to departments outside the patient's care unit),,records (belong to a restricted treatment program),,request from an unsecured network,,,
75,Trainee physicians and visiting specialists are allowed to view sensitive logs and protected databases unless the specialists are participating in observational duties only or the databases contain information from high-security clinical systems or the connection is established through a public network.,Allow,physicians,trainee,,logs,sensitive,,view,unless,or,specialists (participating in observational duties only),,databases (contain information from high-security clinical systems),,connection is established through a public network,,,
75,Trainee physicians and visiting specialists are allowed to view sensitive logs and protected databases unless the specialists are participating in observational duties only or the databases contain information from high-security clinical systems or the connection is established through a public network.,Allow,physicians,trainee,,databases,protected,,view,unless,or,specialists (participating in observational duties only),,databases (contain information from high-security clinical systems),,connection is established through a public network,,,
75,Trainee physicians and visiting specialists are allowed to view sensitive logs and protected databases unless the specialists are participating in observational duties only or the databases contain information from high-security clinical systems or the connection is established through a public network.,Allow,specialists,visiting,,logs,sensitive,,view,unless,or,specialists (participating in observational duties only),,databases (contain information from high-security clinical systems),,connection is established through a public network,,,
75,Trainee physicians and visiting specialists are allowed to view sensitive logs and protected databases unless the specialists are participating in observational duties only or the databases contain information from high-security clinical systems or the connection is established through a public network.,Allow,specialists,visiting,,databases,protected,,view,unless,or,specialists (participating in observational duties only),,databases (contain information from high-security clinical systems),,connection is established through a public network,,,
76,Probationary administrators and external support engineers cannot access critical servers or restricted archives when the administrators have not completed mandatory authorization training or the archives store regulated patient information and the operation take place during weekends.,Deny,administrators,Probationary,,servers,critical,,access,when,or,administrators (have not completed authorization training),,archives (store patient information),,,,the operation take place during weekends,
76,Probationary administrators and external support engineers cannot access critical servers or restricted archives when the administrators have not completed mandatory authorization training or the archives store regulated patient information and the operation take place during weekends.,Deny,administrators,Probationary,,archives,restricted,,access,when,or,administrators (have not completed authorization training),,archives (store patient information),,,,the operation take place during weekends,
76,Probationary administrators and external support engineers cannot access critical servers or restricted archives when the administrators have not completed mandatory authorization training or the archives store regulated patient information and the operation take place during weekends.,Deny,support engineers,external,,servers,critical,,access,when,or,administrators (have not completed authorization training),,archives (store patient information),,,,the operation take place during weekends,
76,Probationary administrators and external support engineers cannot access critical servers or restricted archives when the administrators have not completed mandatory authorization training or the archives store regulated patient information and the operation take place during weekends.,Deny,support engineers,external,,archives,restricted,,access,when,or,administrators (have not completed authorization training),,archives (store patient information),,,,the operation take place during weekends,
77,Agency staff and temporary analyst staff may not read classified reports and secured repositories when the analysts are assigned to short-term operational tasks and the reports relate to restricted medical investigations and the access takes place outside working-hours.,Deny,agency staff,,,reports,classified,,read,when,and,analysts (assigned to short-term operational tasks),,reports (relate to restricted medical investigations),,,,access outaide working-hours,
77,Agency staff and temporary analyst staff may not read classified reports and secured repositories when the analysts are assigned to short-term operational tasks and the reports relate to restricted medical investigations and the access takes place outside working-hours.,Deny,agency staff,,,repositories,secured,,read,when,and,analysts (assigned to short-term operational tasks),,reports (relate to restricted medical investigations),,,,access outaide working-hours,
77,Agency staff and temporary analyst staff may not read classified reports and secured repositories when the analysts are assigned to short-term operational tasks and the reports relate to restricted medical investigations and the access takes place outside working-hours.,Deny,staff,temporary | analyst,and,reports,classified,,read,when,and,analysts (assigned to short-term operational tasks),,reports (relate to restricted medical investigations),,,,access outaide working-hours,
77,Agency staff and temporary analyst staff may not read classified reports and secured repositories when the analysts are assigned to short-term operational tasks and the reports relate to restricted medical investigations and the access takes place outside working-hours.,Deny,staff,temporary | analyst,and,repositories,secured,,read,when,and,analysts (assigned to short-term operational tasks),,reports (relate to restricted medical investigations),,,,access outaide working-hours,
78,Junior operators and contract auditors are not allowed to access protected datasets and confidential records when the operators are working under limited-access assignments and the datasets are associated with sensitive patient programs and the request is made through the weekend or outside working-hours.,Deny,operators,junior,,datasets,protected,,access,when,and,operators (working under limited-access assignments),,datasets (associated with sensitive patient programs),,,,request is made outside working-hours | request made through the weekend,or
78,Junior operators and contract auditors are not allowed to access protected datasets and confidential records when the operators are working under limited-access assignments and the datasets are associated with sensitive patient programs and the request is made through the weekend or outside working-hours.,Deny,operators,junior,,records,confidential,,access,when,and,operators (working under limited-access assignments),,datasets (associated with sensitive patient programs),,,,request is made outside working-hours | request made through the weekend,or
78,Junior operators and contract auditors are not allowed to access protected datasets and confidential records when the operators are working under limited-access assignments and the datasets are associated with sensitive patient programs and the request is made through the weekend or outside working-hours.,Deny,auditors,external,,datasets,protected,,access,when,and,operators (working under limited-access assignments),,datasets (associated with sensitive patient programs),,,,request is made outside working-hours | request made through the weekend,or
78,Junior operators and contract auditors are not allowed to access protected datasets and confidential records when the operators are working under limited-access assignments and the datasets are associated with sensitive patient programs and the request is made through the weekend or outside working-hours.,Deny,auditors,external,,records,confidential,,access,when,and,operators (working under limited-access assignments),,datasets (associated with sensitive patient programs),,,,request is made outside working-hours | request made through the weekend,or
79,Undergraduate students who are enrolled in distance-learning programs and hold temporary library memberships and have overdue account restrictions may not access journals when the students are first-year enrollees and visiting scholars and the journals are reserved for faculty research.,Deny,students,undergraduate | enrolled in distance-learning programs | hold temporary library memberships | have overdue account restrictions,and,journals,,,access,in case,or,students (first-year enrollees | visiting scholars),,journals (reserved for faculty research),,,,,
80,Research assistants who work part-time and belong to external partner institutions and have limited borrowing privileges are not allowed to read archives when the assistants are assigned to short-term projects and guest researchers and the archives are designated for confidential studies.,Deny,Research assistants,part-time | belong to external partner institutions | have limited borrowing privileges,and,archives,,,read,when,and,assistants (assigned to short-term projects | work with guest researchers),,archives (for confidential studies),,,,,
81,Visiting students who are registered for audit courses and possess temporary credentials and have not completed library orientation cannot access repositories unless the students are participating in exchange programs and contract researchers and the repositories contain restricted academic materials.,Deny,students,visiting | registered for audit courses | possess temporary credentials | have not completed library orientation,and,repositories,,,access,unless,and,students (participate in exchange programs),,repositories (contain restricted academic materials),,,,,
82,External collaborators who are affiliated with partner organizations and use provisional accounts and have limited authorization may not access theses unless the collaborators are involved in pilot initiatives and adjunct researchers and the theses are under publication embargo.,Deny,collaborators,external | affiliated with partner organizations | have limited authorization,and,theses,,,read | modify,unless,and,collaborators (are involved in pilot initiatives | help senior researchers),,theses (under publication embargo),,,,,
83,Student volunteers who assist library operations and hold temporary access badges are not allowed to access manuscripts only if the volunteers are assigned to non-research duties or visiting academic projects and the manuscripts belong to special collections.,Deny,volunteers,student | assist library operations | hold temporary access badges,and,manuscripts,,,index | browse,only if,and,volunteers (assigned to non-research duties | visiting academic projects),,manuscripts (belong to special collections),,,,,
84,"Senior physicians who are assigned to critical care units and have completed data-governance training, and senior nurses who are assigned to inpatient services and hold advanced care certifications, may read or write clinical records provided that the physicians are currently responsible for the patient's treatment or the nurses are participating in the patient's care team or the records support an advanced episode of care.",Allow,physicians,senior | assigned to critical care units | completed data-governance training,and,records,clinical,,read | write,provided that,or,physicians (currently responsible for the patient's treatment) | nurses (participating in the patient's care team),,records (support an advanced episode of care),,,,,
84,"Senior physicians who are assigned to critical care units and have completed data-governance training, and senior nurses who are assigned to inpatient services and hold advanced care certifications, may read or write clinical records provided that the physicians are currently responsible for the patient's treatment or the nurses are participating in the patient's care team or the records support an advanced episode of care.",Allow,nurses,senior | who are assigned to inpatient services | hold advanced care certifications,and,records,clinical,,read | write,provided that,or,physicians (currently responsible for the patient's treatment) | nurses (participating in the patient's care team),,records (support an advanced episode of care),,,,,
85,"Clinical researchers who are employed by the medical center and possess approved study credentials and have completed compliance certification, and data analysts who are assigned to research operations and hold authorized system accounts and have completed security training, may read and update datasets provided that the researchers are working on an approved study and the analysts are assigned to that study and the datasets belong to the approved research project.",Allow,researchers,clinical | employed by the medical center | possess approved study credentials | completed compliance certification,and,datasets,,,read | update,provided that,and,researchers (working on an approved study) | analysts (assigned to that study),,datasets (of the approved research project),,,,,
85,"Clinical researchers who are employed by the medical center and possess approved study credentials and have completed compliance certification, and data analysts who are assigned to research operations and hold authorized system accounts and have completed security training, may read and update datasets provided that the researchers are working on an approved study and the analysts are assigned to that study and the datasets belong to the approved research project.",Allow,data analysts,assigned to research operations | have authorized system accounts | completed security training,and,datasets,,,read | update,provided that,and,researchers (working on an approved study) | analysts (assigned to that study),,datasets (of the approved research project),,,,,
86,"Health information managers assigned to records administration who possess active professional accreditation and have completed annual audits, and senior compliance officers who are employed in regulatory oversight, may browse through archives if the managers are responsible for record maintenance and the officers are conducting an authorized review and the archives are older than one year.",Allow,managers,health information | assigned to records administration | possess active professional accreditation | have completed annual audits,and,archives,,,browse,if,and,managers (responsible for record maintenance) | officers (conducting an authorized review),,archives (older than one year),,,,,
86,"Health information managers assigned to records administration who possess active professional accreditation and have completed annual audits, and senior compliance officers who are employed in regulatory oversight, may browse through archives if the managers are responsible for record maintenance and the officers are conducting an authorized review and the archives are older than one year.",Allow,officers,senior | compliance | employed in regulatory oversight,,archives,,,browse,if,and,managers (responsible for record maintenance) | officers (conducting an authorized review),,archives (older than one year),,,,,
87,"Laboratory supervisors who are assigned to diagnostic services or hold active supervisory roles, and pathology specialists who are employed in clinical laboratories and possess superior professional qualifications and have completed a security course, may delete reports when the supervisors are overseeing the testing workflow and the specialists are validating diagnostic findings and the reports are associated with active laboratory cases.",Allow,supervisors,laboratory | are assigned to diagnostic services | hold active supervisory roles,or,reports,,,delete,when,and,supervisors (oversee the testing workflow) | specialists (validating diagnostic findings),,reports (associated with active laboratory cases),,,,,
87,"Laboratory supervisors who are assigned to diagnostic services or hold active supervisory roles, and pathology specialists who are employed in clinical laboratories and possess superior professional qualifications and have completed a security course, may delete reports when the supervisors are overseeing the testing workflow and the specialists are validating diagnostic findings and the reports are associated with active laboratory cases.",Allow,specialists,employed in clinical laboratories | possess superior professional qualifications | completed a security course,and,reports,,,delete,when,and,supervisors (oversee the testing workflow) | specialists (validating diagnostic findings),,reports (associated with active laboratory cases),,,,,
88,"Senior system administrators who are assigned to healthcare infrastructure, and database engineers who are employed in data management services  and have completed compliance training, may modify critical databases provided that the administrators have been employed for more than 10 years and operations are performed during weekends.",Allow,system administrators,senior | assigned to healthcare infrastructure,and,databases,critical,,modify,provided that,and,administrators (employed for more than 10 years),,,,,,during weekends,
88,"Senior system administrators who are assigned to healthcare infrastructure, and database engineers who are employed in data management services  and have completed compliance training, may modify critical databases provided that the administrators have been employed for more than 10 years and operations are performed during weekends.",Allow,database engineers,employed in data management services | completed compliance training,and,databases,critical,,modify,provided that,and,administrators (employed for more than 10 years),,,,,,during weekends,
89,Faculty researchers with active appointments may read and download journals and theses that are peer-reviewed or faculty-curated or citation-indexed when the journals' publisher is ACM and the theses belong to departmental collections.,Allow,Faculty researchers,with active appointments,,journals,peer-reviewed | faculty-curated | citation-indexed,or,read | download,when,and,,,journals (publisher is ACM) | theses (from departmental collections),and,,,,
89,Faculty researchers with active appointments may read and download journals and theses that are peer-reviewed or faculty-curated or citation-indexed when the journals' publisher is ACM and the theses belong to departmental collections.,Allow,Faculty researchers,with active appointments,,theses,peer-reviewed | faculty-curated | citation-indexed,or,read | download,when,and,,,journals (publisher is ACM) | theses (from departmental collections),and,,,,
90,Graduate students aged less than 30 may access and download papers and datasets that are course-related or supervisor-approved or department-licensed when the papers are required for seminars and the datasets support active research projects.,Allow,students,Graduate | aged less than 30,,papers,course-related | supervisor-approved | department-licensed,or,access | download,when,and,,,papers (required for seminars) | datasets (support active research projects),and,,,,
90,Graduate students aged less than 30 may access and download papers and datasets that are course-related or supervisor-approved or department-licensed when the papers are required for seminars and the datasets support active research projects.,Allow,students,Graduate | aged less than 30,,datasets,course-related | supervisor-approved | department-licensed,or,access | download,when,and,,,papers (required for seminars) | datasets (support active research projects),and,,,,
91,Library staff with smart accounts may read and archive manuscripts and proceedings that are catalogued or preservation-ready or faculty-submitted only if the manuscripts are assigned to the physics collection or the proceedings relate to mathematics conferences.,Allow,Library staff,with smart accounts,,manuscripts,catalogued | preservation-ready | faculty-submitted,or,read | archive,only if,and,,,manuscripts (assigned to the physics collection) | proceedings (related to mathematics conferences),or,,,,
91,Library staff with smart accounts may read and archive manuscripts and proceedings that are catalogued or preservation-ready or faculty-submitted only if the manuscripts are assigned to the physics collection or the proceedings relate to mathematics conferences.,Allow,Library staff,with smart accounts,,proceedings,catalogued | preservation-ready | faculty-submitted,or,read | archive,only if,and,,,manuscripts (assigned to the physics collection) | proceedings (related to mathematics conferences),or,,,,
92,Doctoral candidates with research clearance may view and download preprints and datasets that are advisor-endorsed or grant-funded or repository-approved provided that the preprints concern active dissertation work and the datasets are linked to approved research groups.,Allow,doctoral candidates,with research clearance,,preprints,advisor-endorsed | grant-funded | repository-approved,or,view | download,provided that,or,,,preprints (concern active dissertation work) | datasets (linked to approved research groups),or,,,,
92,Doctoral candidates with research clearance may view and download preprints and datasets that are advisor-endorsed or grant-funded or repository-approved provided that the preprints concern active dissertation work and the datasets are linked to approved research groups.,Allow,doctoral candidates,with research clearance,,datasets,advisor-endorsed | grant-funded | repository-approved,or,view | download,provided that,or,,,preprints (concern active dissertation work) | datasets (linked to approved research groups),or,,,,
93,Professors with teaching assignments may access and share textbooks and online material that are department-approved or access-restricted only if the textbooks are used in approved courses and the online material support supervised tutorials and the operations occur via the VPN or the internal network.,Allow,professors,with teaching assignments,,textbooks,department-approved | access-restricted,or,access | share,only if,and,,,textbooks (used in approved courses) | online material (support supervised tutorials),or,operations occur via the VPN | operations occur via the internal network,or,,
93,Professors with teaching assignments may access and share textbooks and online material that are department-approved or access-restricted only if the textbooks are used in approved courses and the online material support supervised tutorials and the operations occur via the VPN or the internal network.,Allow,professors,with teaching assignments,,online material,department-approved | access-restricted,or,access | share,only if,and,,,textbooks (used in approved courses) | online material (support supervised tutorials),or,operations occur via the VPN | operations occur via the internal network,or,,
94,Contractors with limited authorization may not access or modify databases that are privacy-sensitive when the DB records belong to active treatments or access occur from an external network or during weekends.,Deny,Contractors,with limited authorization,,databases,privacy-sensitive,,sccess | modify,when,or,DB records (belong to active treatments),,,,access occur from an external network,,during weekends,
95,Visiting interns with limited access are not allowed to read or delete reports that are restricted-access and archives that are audit-protected or security-classified when the reports contain ongoing investigation findings and the archives store private healthcare information.,Deny,interns,visiting | with limited access,and,reports,restricted-access,,read | delete,when,and,,,reports (contain ongoing investigation findings) | archives (store private healthcare information),,,,,
95,Visiting interns with limited access are not allowed to read or delete reports that are restricted-access and archives that are audit-protected or security-classified when the reports contain ongoing investigation findings and the archives store private healthcare information.,Deny,interns,visiting | with limited access,and,archives,audit-protected | security-classified,or,read | delete,when,and,,,reports (contain ongoing investigation findings) | archives (store private healthcare information),,,,,
96,"External consultants with non-clinical roles cannot access or update logs and documents that are privacy-protected  when the logs document active security events, or during weekends and holidays.",Deny,consultants,External | with non-clinical roles,and,logs,,,access | update,when,or,,,logs (document active security events),,,,during weekends | during holidays,or
96,"External consultants with non-clinical roles cannot access or update logs and documents that are privacy-protected  when the logs document active security events, or during weekends and holidays.",Deny,consultants,External | with non-clinical roles,and,documents,privacy-protected,,access | update,when,or,,,logs (document active security events),,,,during weekends | during holidays,or
97,Temporary volunteer assistants cannot view or modify confidential datasets and legally protected or patient-linked records unless the datasets are older than 5 years and the records are older than 10 years.,Deny,assistants,Temporary | volunteer,and,datasets,confidential,,view | modify,unless,,,,datasets (older than 5 years) | records (older than 10 years),and,,,,
97,Temporary volunteer assistants cannot view or modify confidential datasets and legally protected or patient-linked records unless the datasets are older than 5 years and the records are older than 10 years.,Deny,assistants,Temporary | volunteer,and,records,legally protected | patient-linked,or,view | modify,unless,,,,datasets (older than 5 years) | records (older than 10 years),and,,,,
98,"Third-party technicians are not allowed to access or delete encrypted backups or compliance-monitored and security-sensitive records, unless the backups support live recovery operations or the records are older than 5 years.",Deny,technicians,Third-party,,backups,encrypted,,access | delete,unless,,,,backups (support live recovery operations) | records (older than 5 years),or,,,,
98,"Third-party technicians are not allowed to access or delete encrypted backups or compliance-monitored and security-sensitive records, unless the backups support live recovery operations or the records are older than 5 years.",Deny,technicians,Third-party,,records,compliance-monitored | security-sensitive,and,access | delete,unless,,,,backups (support live recovery operations) | records (older than 5 years),or,,,,
